Start,ŠK‘w,Ží—Þ,ID
None,1,consuption,5
None,1,consuption,15
None,1,consuption,16
None,1,consuption,21
None,1,consuption,22
None,1,consuption,23
None,1,consuption,25
None,1,consuption,45
None,1,consuption,46
None,2,consuption,5
None,2,consuption,15
None,2,consuption,16
None,2,consuption,21
None,2,consuption,22
None,2,consuption,23
None,2,consuption,25
None,2,consuption,45
None,2,consuption,46
None,2,equipment,9
None,2,equipment,12
None,2,equipment,13
None,2,equipment,16
None,3,consuption,5
None,3,consuption,15
None,3,consuption,16
None,3,consuption,21
None,3,consuption,22
None,3,consuption,23
None,3,consuption,25
None,3,consuption,45
None,3,consuption,46
None,3,equipment,10
None,3,equipment,11
None,3,equipment,14
None,3,equipment,15
None,4,consuption,18
None,4,consuption,21
None,4,consuption,22
None,4,consuption,23
None,4,consuption,24
None,4,consuption,25
None,4,consuption,26
None,4,consuption,46
None,4,equipment,9
None,4,equipment,10
None,4,equipment,11
None,4,equipment,12
None,4,equipment,13
None,4,equipment,14
None,4,equipment,15
None,4,equipment,16
None,5,consuption,2
None,5,consuption,18
None,5,consuption,19
None,5,consuption,26
None,5,consuption,28
None,5,consuption,29
None,5,consuption,30
None,5,consuption,31
None,5,consuption,47
None,5,equipment,17
None,5,equipment,19
None,5,equipment,23
None,6,consuption,21
None,6,consuption,22
None,6,consuption,23
None,6,consuption,24
None,6,consuption,26
None,6,consuption,34
None,6,consuption,36
None,6,consuption,37
None,6,consuption,46
None,6,consuption,79
None,6,equipment,18
None,6,equipment,20
None,6,equipment,21
None,7,consuption,1
None,7,consuption,21
None,7,consuption,22
None,7,consuption,23
None,7,consuption,24
None,7,consuption,26
None,7,consuption,28
None,7,consuption,29
None,7,consuption,30
None,7,consuption,31
None,7,consuption,34
None,7,consuption,36
None,7,consuption,37
None,7,consuption,46
None,7,consuption,47
None,7,equipment,17
None,7,equipment,22
None,7,equipment,23
None,8,consuption,26
None,8,consuption,32
None,8,consuption,34
None,8,consuption,36
None,8,consuption,37
None,8,consuption,38
None,8,consuption,39
None,8,consuption,40
None,8,consuption,41
None,8,equipment,18
None,8,equipment,20
None,8,equipment,21
None,9,consuption,1
None,9,consuption,26
None,9,consuption,32
None,9,consuption,34
None,9,consuption,36
None,9,consuption,37
None,9,consuption,38
None,9,consuption,39
None,9,consuption,40
None,9,consuption,41
None,9,equipment,17
None,9,equipment,18
None,9,equipment,19
None,9,equipment,20
None,9,equipment,21
None,9,equipment,22
None,9,equipment,23
None,9,equipment,24
None,10,consuption,11
None,10,consuption,18
None,10,consuption,26
None,10,consuption,32
None,10,consuption,34
None,10,consuption,36
None,10,consuption,37
None,10,consuption,40
None,10,consuption,42
None,10,consuption,43
None,10,consuption,44
None,10,equipment,27
None,10,equipment,29
None,10,equipment,31
End,,,
