Start,ŠK‘w,Ží—Þ,ID
None,1,consuption,76
None,1,consuption,78
None,1,consuption,104
None,1,consuption,105
None,1,equipment,17
None,1,equipment,23
None,2,consuption,76
None,2,consuption,77
None,2,consuption,78
None,2,consuption,104
None,2,consuption,105
None,2,equipment,21
None,2,equipment,23
None,3,consuption,76
None,3,consuption,77
None,3,consuption,78
None,3,consuption,104
None,3,consuption,105
None,3,equipment,24
None,3,equipment,19
None,4,consuption,76
None,4,consuption,78
None,4,consuption,104
None,4,consuption,105
None,4,equipment,17
None,4,equipment,20
None,5,consuption,2
None,5,consuption,11
None,5,consuption,35
None,5,consuption,92
None,5,equipment,30
None,5,equipment,29
None,5,equipment,30
None,5,equipment,31
None,5,equipment,32
None,6,consuption,28
None,6,consuption,29
None,6,consuption,30
None,6,consuption,31
None,6,consuption,47
None,6,consuption,78
None,6,consuption,79
None,6,consuption,94
None,6,consuption,95
None,6,consuption,96
None,6,consuption,104
None,6,consuption,105
None,6,consuption,106
None,6,equipment,25
None,6,equipment,27
None,6,equipment,28
None,7,consuption,28
None,7,consuption,29
None,7,consuption,30
None,7,consuption,31
None,7,consuption,47
None,7,consuption,78
None,7,consuption,94
None,7,consuption,95
None,7,consuption,96
None,7,consuption,104
None,7,consuption,105
None,7,consuption,106
None,7,equipment,26
None,7,equipment,31
None,7,equipment,32
None,8,consuption,78
None,8,consuption,94
None,8,consuption,95
None,8,consuption,96
None,8,consuption,97
None,8,consuption,104
None,8,consuption,105
None,8,consuption,106
None,8,equipment,25
None,8,equipment,29
None,8,equipment,30
None,9,consuption,78
None,9,consuption,94
None,9,consuption,95
None,9,consuption,96
None,9,consuption,97
None,9,consuption,104
None,9,consuption,105
None,9,consuption,106
None,9,equipment,25
None,9,equipment,26
None,9,equipment,27
None,9,equipment,28
None,9,equipment,29
None,9,equipment,30
None,9,equipment,31
None,9,equipment,32
None,10,consuption,98
None,10,consuption,99
None,10,consuption,100
None,10,consuption,101
None,10,consuption,102
None,10,equipment,37
None,10,equipment,38
None,10,equipment,39
None,10,equipment,40
None,11,consuption,78
None,11,consuption,79
None,11,consuption,94
None,11,consuption,95
None,11,consuption,96
None,11,consuption,97
None,11,consuption,104
None,11,consuption,105
None,11,consuption,106
None,11,equipment,33
None,11,equipment,35
None,11,equipment,40
None,12,consuption,78
None,12,consuption,94
None,12,consuption,95
None,12,consuption,96
None,12,consuption,97
None,12,consuption,104
None,12,consuption,105
None,12,consuption,106
None,12,consuption,109
None,12,consuption,121
None,12,consuption,122
None,12,equipment,36
None,12,equipment,37
None,12,equipment,39
None,13,consuption,78
None,13,consuption,104
None,13,consuption,105
None,13,consuption,106
None,13,consuption,109
None,13,consuption,121
None,13,consuption,122
None,13,consuption,124
None,13,consuption,125
None,13,equipment,36
None,13,equipment,37
None,13,equipment,38
None,14,consuption,78
None,14,consuption,104
None,14,consuption,105
None,14,consuption,106
None,14,consuption,109
None,14,consuption,121
None,14,consuption,122
None,14,consuption,124
None,14,consuption,125
None,14,equipment,33
None,14,equipment,34
None,14,equipment,35
None,14,equipment,36
None,14,equipment,37
None,14,equipment,38
None,14,equipment,39
None,14,equipment,40
None,15,consuption,102
None,15,consuption,126
None,15,consuption,127
None,15,consuption,128
None,15,equipment,61
None,15,equipment,62
None,15,equipment,63
None,15,equipment,64
None,16,consuption,14
None,17,consuption,8
None,18,consuption,7
None,19,consuption,10
None,20,consuption,10
None,21,consuption,10
None,22,consuption,10
None,23,consuption,10
None,24,consuption,10
None,25,consuption,10
None,26,consuption,10
None,27,consuption,10
None,28,consuption,10
None,29,consuption,10
None,30,consuption,10
None,31,consuption,10
None,32,consuption,10
None,33,consuption,10
None,34,consuption,10
None,35,consuption,10
None,36,consuption,10
None,37,consuption,10
None,38,consuption,10
None,39,consuption,10
None,40,consuption,10
None,41,consuption,10
None,42,consuption,10
None,43,consuption,10
None,44,consuption,10
None,45,consuption,10
None,46,consuption,10
None,47,consuption,10
None,48,consuption,10
None,49,consuption,10
None,50,consuption,10
End,,,
