Start,ŠK‘w,Ží—Þ,ID
None,1,consuption,1
None,1,consuption,5
None,1,consuption,6
None,1,consuption,15
None,1,consuption,16
None,1,consuption,17
None,2,equipment,12
None,2,equipment,9
None,2,consuption,1
None,2,consuption,5
None,2,consuption,6
None,2,consuption,15
None,2,consuption,16
None,2,consuption,17
None,2,equipment,13
None,2,equipment,14
None,2,equipment,15
None,2,equipment,16
None,3,consuption,5
None,3,consuption,7
None,3,consuption,20
None,3,equipment,9
None,3,equipment,10
None,3,equipment,11
None,3,equipment,12
End,,,
